ano,uf,mortos,ilesos,feridos_graves,feridos_leves,feridos
2018,PA,143,1423,363,984,1347
2018,PB,133,1552,444,1252,1696
2018,PE,296,2887,744,2008,2752
2018,PI,159,1506,450,1008,1458
2018,PR,494,8433,2051,6294,8345
2018,RJ,276,5005,893,4135,5028
2018,RN,118,1370,479,1121,1600
2018,RO,91,2036,405,1416,1821
2018,RR,22,260,70,213,283
2018,RS,314,5217,1051,3721,4772
2018,SC,386,8947,1888,7361,9249
2018,SE,41,548,169,436,605
2018,SP,207,5193,619,3919,4538
2018,TO,85,772,184,483,667
2019,AC,24,200,79,252,331
2019,AL,97,571,259,481,740
2019,AM,18,98,24,72,96
2019,AP,16,148,34,116,150
2019,BA,475,3642,1092,3232,4324
2019,CE,157,1665,564,1402,1966
2019,DF,51,1281,205,1052,1257
2019,ES,146,2526,1100,2349,3449
2019,GO,277,3318,957,3033,3990
2019,MA,196,1169,438,741,1179
2019,MG,676,8188,2523,8893,11416
2019,MS,124,1488,442,1311,1753
2019,MT,226,2362,466,1903,2369
2019,PA,136,890,218,709,927
2019,PB,128,1417,497,1203,1700
2019,PE,308,2705,792,2052,2844
2019,PI,149,1337,504,959,1463
2019,PR,500,8212,2153,6385,8538
2019,RJ,352,4685,999,4288,5287
2019,RN,90,1362,441,1274,1715
2019,RO,89,1913,438,1398,1836
2019,RR,38,236,71,237,308
2019,RS,303,5136,1149,4198,5347
2019,SC,403,8333,2089,7773,9862
2019,SE,62,527,187,557,744
2019,SP,204,4552,684,4049,4733
2019,TO,79,507,136,439,575
2020,AC,6,124,37,122,159
2020,AL,46,317,124,253,377
2020,AM,9,57,16,67,83
2020,AP,2,57,23,70,93
2020,BA,253,1768,489,1713,2202
2020,CE,79,754,280,610,890
2020,DF,25,643,97,497,594
2020,ES,70,1145,464,1073,1537
2020,GO,146,1757,476,1604,2080
2020,MA,98,560,226,415,641
2020,MG,374,3887,1209,4281,5490
2020,MS,60,671,173,681,854
